,credit
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,1
456,1
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,0
540,0
541,0
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,0
599,1
