,credit
0,0
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,1
