,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,sex,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex-age
0,A13,18,A32,A43,2100,A61,A73,4,male,A102,2,A121,adult,A142,A152,1,A173,1,A191,A201,2,male-adult
1,A11,12,A32,A40,1893,A61,A73,4,female,A103,4,A122,adult,A143,A152,1,A173,1,A192,A201,1,female-adult
2,A14,18,A34,A43,1149,A64,A73,4,male,A101,3,A121,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
3,A12,7,A32,A43,2329,A61,A72,1,female,A103,1,A121,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
4,A11,12,A32,A42,7865,A61,A75,4,male,A101,4,A124,adult,A143,A153,1,A174,1,A192,A201,2,male-adult
5,A14,24,A33,A40,717,A65,A75,4,male,A101,4,A123,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
6,A11,30,A32,A43,2522,A61,A75,1,male,A103,3,A122,adult,A143,A152,1,A173,2,A191,A201,1,male-adult
7,A14,12,A32,A40,1101,A61,A73,3,male,A101,2,A121,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
8,A12,6,A32,A43,484,A61,A74,3,male,A103,3,A121,adult,A141,A152,1,A172,1,A191,A201,1,male-adult
9,A12,18,A32,A49,4439,A61,A75,1,male,A102,1,A121,adult,A141,A152,1,A174,1,A192,A201,1,male-adult
10,A14,36,A32,A42,3349,A61,A73,4,female,A101,2,A123,adult,A143,A152,1,A174,1,A192,A201,2,female-adult
11,A11,28,A32,A40,4006,A61,A73,3,male,A101,2,A123,adult,A143,A152,1,A172,1,A191,A201,2,male-adult
12,A11,12,A32,A48,902,A61,A74,4,male,A101,4,A122,youth,A143,A151,1,A173,1,A191,A201,2,male-youth
13,A11,42,A32,A43,7174,A65,A74,4,female,A101,3,A123,adult,A143,A152,1,A174,1,A192,A201,2,female-adult
14,A14,12,A34,A40,926,A61,A71,1,female,A101,2,A122,adult,A143,A152,1,A171,1,A191,A201,1,female-adult
15,A14,10,A32,A40,1287,A65,A75,4,male,A102,2,A122,adult,A143,A152,1,A172,1,A191,A202,1,male-adult
16,A12,18,A34,A49,3590,A61,A71,3,male,A101,3,A123,adult,A143,A152,3,A171,2,A192,A201,1,male-adult
17,A11,13,A34,A49,1797,A61,A72,3,male,A101,1,A122,adult,A141,A152,2,A172,1,A191,A201,1,male-adult
18,A14,60,A32,A40,6527,A65,A73,4,male,A101,4,A124,adult,A143,A153,1,A173,2,A192,A201,1,male-adult
19,A11,20,A34,A40,2235,A61,A73,4,male,A103,2,A122,adult,A141,A151,2,A173,1,A191,A202,2,male-adult
20,A14,18,A34,A46,1864,A62,A73,4,female,A101,2,A121,adult,A143,A152,2,A173,1,A191,A201,2,female-adult
21,A12,12,A34,A40,3124,A61,A72,1,male,A101,3,A121,adult,A141,A152,2,A172,2,A191,A201,1,male-adult
22,A12,18,A34,A40,884,A61,A75,4,male,A101,4,A123,adult,A141,A152,1,A173,2,A192,A201,2,male-adult
23,A14,6,A32,A43,2108,A61,A74,2,male,A101,2,A121,adult,A143,A151,1,A173,1,A191,A201,1,male-adult
24,A11,12,A32,A43,709,A61,A75,4,male,A101,4,A121,adult,A142,A152,1,A172,1,A191,A201,2,male-adult
