,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,sex,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex-age
0,A11,24,A31,A43,1546,A61,A74,4,male,A103,4,A123,youth,A141,A151,1,A172,1,A191,A201,2,male-youth
1,A12,12,A32,A42,2762,A65,A75,1,female,A101,2,A122,adult,A141,A152,1,A173,1,A192,A201,2,female-adult
2,A11,6,A34,A42,3384,A61,A73,1,male,A101,4,A121,adult,A143,A151,1,A174,1,A192,A201,2,male-adult
3,A14,18,A32,A43,1126,A65,A72,4,female,A101,2,A121,youth,A143,A151,1,A173,1,A192,A201,1,female-youth
4,A14,15,A34,A42,3343,A61,A73,4,male,A101,2,A124,adult,A143,A153,1,A173,1,A192,A201,1,male-adult
5,A14,12,A34,A43,797,A65,A75,4,female,A101,3,A122,adult,A141,A152,1,A172,2,A191,A201,2,female-adult
6,A14,39,A32,A41,2569,A63,A73,4,male,A101,4,A123,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
7,A11,9,A32,A43,1364,A61,A74,3,male,A101,4,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
8,A14,28,A34,A43,2743,A61,A75,4,male,A101,2,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
9,A12,30,A30,A49,4280,A62,A73,4,female,A101,4,A123,adult,A143,A151,2,A172,1,A191,A201,2,female-adult
10,A14,6,A32,A43,518,A61,A73,3,female,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
11,A11,12,A34,A40,2121,A61,A73,4,male,A101,2,A122,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
12,A14,6,A30,A40,1204,A62,A73,4,male,A101,1,A124,adult,A141,A151,1,A173,1,A191,A202,1,male-adult
13,A11,24,A34,A43,1231,A64,A75,4,female,A101,4,A122,adult,A143,A151,2,A174,1,A192,A201,1,female-adult
14,A11,30,A32,A42,3622,A64,A75,4,female,A101,4,A122,adult,A143,A151,2,A173,1,A192,A201,1,female-adult
15,A12,12,A32,A49,841,A62,A74,2,female,A101,4,A121,youth,A143,A151,1,A172,1,A191,A201,1,female-youth
16,A12,48,A30,A410,18424,A61,A73,1,female,A101,2,A122,adult,A141,A152,1,A174,1,A192,A202,2,female-adult
17,A12,24,A34,A43,1216,A62,A72,4,male,A101,4,A124,adult,A141,A152,2,A173,2,A191,A201,2,male-adult
18,A14,36,A34,A41,5842,A61,A75,2,male,A101,2,A122,adult,A143,A152,2,A173,2,A192,A201,1,male-adult
19,A14,48,A34,A41,11590,A62,A73,2,female,A101,4,A123,youth,A141,A151,2,A172,1,A191,A201,2,female-youth
20,A12,24,A32,A40,1355,A61,A72,3,female,A101,4,A123,adult,A143,A152,1,A172,1,A192,A201,2,female-adult
21,A12,15,A32,A45,2631,A62,A73,3,female,A101,2,A121,adult,A143,A152,1,A172,1,A191,A201,1,female-adult
22,A14,24,A32,A43,3430,A63,A75,3,male,A101,2,A123,adult,A143,A152,1,A173,2,A192,A201,1,male-adult
23,A11,18,A30,A42,3114,A61,A72,1,female,A101,4,A122,adult,A143,A151,1,A173,1,A191,A201,2,female-adult
24,A11,12,A34,A41,1409,A61,A75,4,male,A101,3,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
25,A11,18,A32,A44,1217,A61,A73,4,male,A101,3,A121,adult,A143,A152,1,A172,1,A192,A201,2,male-adult
26,A11,24,A32,A49,6568,A61,A73,2,male,A101,2,A123,youth,A142,A152,1,A172,1,A191,A201,1,male-youth
27,A11,15,A32,A40,1403,A61,A73,2,female,A101,4,A123,adult,A143,A151,1,A173,1,A191,A201,1,female-adult
28,A11,12,A32,A40,759,A61,A74,4,male,A101,2,A121,adult,A143,A152,1,A173,1,A191,A201,2,male-adult
29,A12,18,A32,A42,1924,A65,A72,4,female,A101,3,A121,adult,A143,A151,1,A173,1,A191,A201,2,female-adult
30,A14,36,A33,A40,10875,A61,A75,2,male,A101,2,A123,adult,A143,A152,2,A173,2,A192,A201,1,male-adult
31,A14,30,A34,A41,7596,A65,A75,1,male,A101,4,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
32,A12,15,A33,A45,1512,A64,A73,3,male,A101,3,A122,adult,A142,A152,2,A173,1,A191,A201,2,male-adult
33,A12,12,A32,A40,6078,A61,A74,2,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
34,A12,36,A32,A41,9398,A61,A72,1,male,A101,4,A123,adult,A143,A151,1,A174,1,A192,A201,2,male-adult
35,A14,6,A34,A43,1740,A61,A75,2,male,A101,2,A121,adult,A143,A151,2,A173,1,A191,A201,1,male-adult
36,A14,24,A34,A43,5103,A61,A72,3,male,A101,3,A124,adult,A143,A153,3,A173,1,A192,A201,1,male-adult
37,A11,12,A34,A40,2122,A61,A73,3,male,A101,2,A121,adult,A143,A151,2,A172,2,A191,A202,1,male-adult
38,A12,6,A32,A43,590,A61,A72,3,male,A101,3,A121,adult,A143,A152,1,A172,1,A191,A202,1,male-adult
39,A12,12,A32,A40,836,A62,A72,4,female,A101,2,A122,youth,A141,A152,1,A172,1,A191,A201,2,female-youth
40,A12,24,A32,A40,3512,A62,A74,2,male,A101,3,A123,adult,A141,A152,2,A173,1,A192,A201,1,male-adult
41,A14,30,A34,A43,4530,A61,A74,4,female,A101,4,A123,adult,A143,A151,1,A174,1,A192,A201,1,female-adult
42,A12,18,A32,A49,1941,A64,A73,4,male,A101,2,A122,adult,A143,A152,1,A172,1,A192,A201,1,male-adult
43,A11,42,A32,A42,7882,A61,A74,2,male,A103,4,A122,adult,A143,A153,1,A173,2,A191,A201,1,male-adult
44,A12,60,A33,A43,9157,A65,A73,2,male,A101,2,A124,adult,A143,A153,1,A174,1,A191,A201,1,male-adult
45,A12,12,A32,A48,754,A65,A75,4,male,A101,4,A122,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
46,A14,24,A34,A40,1287,A64,A75,4,female,A101,4,A121,adult,A143,A152,2,A173,1,A192,A201,1,female-adult
47,A14,24,A32,A41,2603,A64,A73,2,female,A101,4,A123,adult,A143,A151,1,A173,1,A192,A201,1,female-adult
48,A14,36,A32,A46,9055,A65,A73,2,male,A101,4,A124,adult,A143,A153,1,A172,2,A192,A201,1,male-adult
49,A14,15,A32,A42,2708,A61,A72,2,male,A101,3,A122,adult,A141,A152,2,A172,1,A191,A201,1,male-adult
